client,delivery_document,object_created_by,entry_time,record_created_on,sales_district,shipping_receiving_point,sales_organization,delivery_type_lfart,complete_delivery_defined_sales_order,order_combination_indicator,planned_goods_movement_date,loading_date,transportation_planning_date,delivery_date,picking_date,unloading_point,incoterms_part_1,incoterms_part_2,export_indicator,route,billing_block,delivery_block,document_category,customer_factory_calendar,tpqua,tpgrp,delivery_priority,shipping_conditions,competitor,sold_to_party,customer_group,stzkl,stzzu,total_weight,net_weight,weight_unit,volume,volume_unit,total_number_of_packages_in_delivery,picked_items_location,time_of_delivery,weight_group_for_delivery,loading_point,transportation_group,proposed_billing_type,billing_date,invoice_date,route_2,update_group_for_statistics_update,pricing_procedure,number_of_document_condition,document_currency,sales_office,shipping_processing_time,combination_criteria_for_delivery,distribution_delivery,communication_number_api_interface,statistics_currency,exchange_rate_for_statistics,number_of_foreign_trade_data,changed_by,changed_on,warehouse_number,split_to_warehouse_number,sales_organization_for_intercompany_billing,distribution_channel_for_intercompany_billing,division_for_intercompany_billing,billing_type_for_intercompany_billing,date_for_intercompany_billing,billing_date_for_intercompany_billing,customer_number_for_intercompany_billing,credit_control_area,customer_account_number_with_credit_limit,customer_credit_group,credit_representative_group,credit_management_risk_category,currency_key,credit_value_released,bill_of_lading,vendor_account_number,means_of_transport_type,means_of_transport_id,document_release_date,next_date,goods_receipt_slip_number,document_date_in_document,actual_goods_movement_date,shipment_blocking_reason,external_transport_system_id,external_identification_of_delivery_note,order_number,search_procedure_batch,correction_delivery,shipping_pricing_procedure,number_of_document_condition__pricing,net_value_order_item,route_schedule,plant,internal_financial_document_number,payment_guarantee_procedure,picking_time,transp_planning_time,loading_time,goods_issue_time_wauhr,door_for_warehouse_number,staging_area_for_warehouse_complex,currency_key_for_letter_of_credit,exchange_rate,depreciation_percentage,dangerous_goods_management_profile,reference_document_number,international_unique_key,time_segment_exists,event_group_time_segment_delivery_header,time_zone_of_delivering_location,time_zone_of_recipient_location,dangerous_goods_indicator,distribution_delivery_original_system,controlling_goods_movement_indicator,distribution_status_vlstk,transaction_code,shipping_type,means_of_transport_trmtyp,special_processing_indicator,company_id,calculation_of_val_open,automatic_to_creation_immediately_after_tr_generation,production_supply_area,delivery_type_folar,date_proof_of_delivery,confirmation_time,number_of_delivery_items,delivery_has_status_in_plant,document_deletion_indicator,sequence_of_intermediate_locations_in_returns_process,delivery_confirmation_status,shipment_information_status,asn_is_cancelled_flag,goods_issue_time_spe_wauhr_ist,time_zone,distribution_status_spe_rev_vlstk,scenario_logistic_execution,original_system_type,last_changers_system_type,description_of_a_geographical_route,route_change_indicator,carrier_change_indicator,goods_traffic_type,route_code_for_sap_global_trade_services,release_time_stamp,measurement_unit_system,invoice_creation_before_goods_issue,status_of_quality_inspection_for_returns_deliveries,spe_indicator_if_redirecting_has_occured,storage_status_of_delivery,type_of_external_identification,means_of_transport_spe_ttype,progressive_identification_number,akkreditiv_guid,ewm_billing_indicator,description_of_print_profile,advanced_returns_management_active,confirmation_number,temporary_change_of_storage_locations_in_delivery,control_key_for_document_transfer,delivery_split_initiator,delivery_version,physical_handover_of_goods_location,handover_date_at_handover_location,handover_time_at_handover_location,time_zone_of_handover_location,incoterms_version,incoterms_location_1,incoterms_location_2,loading_units,number_category_1,number_category_2,number_category_3,number_category_4,loading_sequence_number_in_the_tour,multi_level_goods_receipt_automotive,rfid_flag,is_quarantined
100,74013257,Q003508,1900-01-01 17:12:53,2013-01-12 6:00:00,,5031,1000,LB,,,2017-02-23 6:00:00,2013-01-14 6:00:00,2013-01-14 6:00:00,2013-01-14 6:00:00,2013-01-14 6:00:00,,,,,,,,J,,,,2,M,60000634,,,0,0,0,0,,0,,0,,1900-01-01 6:00:00,10,,1,F2,2017-02-23 6:00:00,,,,Z10000,,,,0,1000,,,USD,1,,ZDJ0066,2017-02-23 6:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,1010298,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2013-01-12 6:00:00,1900-01-01 6:00:00,,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,0,0,,,051MhW8E7kANcsaUmvTB1G,X,,PST,PST,,,I,,ME2O,,,CANC,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,80451526,Q003507,1900-01-01 20:51:55,2014-01-22 6:00:00,,5031,1000,LB,,,2017-02-23 6:00:00,2014-02-07 6:00:00,2014-02-07 6:00:00,2014-02-07 6:00:00,2014-02-07 6:00:00,,,,,,,,J,,,,2,M,60000634,,,0,0,0,0,,0,,43,,1900-01-01 6:00:00,10,,1,F2,2017-02-23 6:00:00,,,,Z10000,,,,0,1000,,,USD,1,,ZDJ0066,2017-02-23 6:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,1010298,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2014-01-22 6:00:00,1900-01-01 6:00:00,,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,0,0,,,051MhZJP7kEWzE2H3rMP20,X,,PST,PST,,,I,,ME2O,,,CANC,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,81198623,ZTI0001,1900-01-01 20:27:36,2016-11-02 5:00:00,,5053,1000,RL,,,2016-11-02 5:00:00,2016-11-02 5:00:00,2016-11-02 5:00:00,2016-11-02 5:00:00,2016-11-02 5:00:00,,,,X,1 DAY,,,J,,,,0,M,60001216,,,0,0,1020,1020,LB,85680,IN3,1,,1900-01-01 6:00:00,9999,,1,F2,2016-11-03 5:00:00,,,,Z10000,,USD,,0,1000,,,USD,1,211717,ZDD0034,2016-11-03 5:00:00,119,,,,,,,1900-01-01 6:00:00,,,,,,,,0,TINA,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2016-11-02 5:00:00,2016-11-03 5:00:00,,,dispose per vendor,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,D10,,,0,0,,,051MhZJM7jQefaqBxrOL{m,X,,EST,EST,,,I,,VL10X,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,81266025,ZTR0170,1900-01-01 18:22:32,2017-02-22 6:00:00,,4626,1000,RLL,,,2017-02-22 6:00:00,2017-02-22 6:00:00,2017-02-22 6:00:00,2017-02-22 6:00:00,2017-02-22 6:00:00,,,,,,,,J,,,,0,M,60007656,,,0,0,44000,44000,LB,1100,IN3,0,,1900-01-01 6:00:00,9999,,1,F2,2017-02-22 6:00:00,,,,Z10000,,,,0,1000,,,USD,1,,ZTR0170,2017-02-22 6:00:00,307,,,,,,,1900-01-01 6:00:00,,,,,,,,0,305518,3054161,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2017-02-13 6:00:00,2017-02-22 6:00:00,,,187053434,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,0,0,,,051MhZJL7kQ{fNmKdePn6W,X,,CST,CST,,,I,,MIGO,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82037467,ZJW3076,1900-01-01 15:12:10,2020-05-26 5:00:00,,4765,1000,Z6,,,2020-05-28 5:00:00,2020-05-28 5:00:00,2020-05-28 5:00:00,2020-05-29 5:00:00,2020-05-28 5:00:00,,DFP,Destination,,1 DAY,,,J,,,,0,ZZ,4287,,,0,0,42199.74,38610,LB,2997.72,FT3,30,,1900-01-01 21:00:00,9999,,1,F2,2020-05-26 5:00:00,,1 DAY,,Z10000,,USD,,0,1000,,,USD,1,,ZAJ3038,2020-05-27 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-05-26 5:00:00,2020-05-26 5:00:00,,,,,,,,,0,,4287,,,1900-01-01 22:00:00,1900-01-01 22:00:00,1900-01-01 22:00:00,1900-01-01 22:00:00,,,,0,0,,4503146598,051MhZJJ7jgdwrnsp4lOMW,,,CST,UTC-6,,,I,,VL10X,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82068315,ZMD0095,1900-01-01 11:57:13,2020-07-07 5:00:00,,2105,1000,Z3,,,2020-10-19 5:00:00,2020-10-19 5:00:00,2020-07-15 5:00:00,2020-11-05 6:00:00,2020-10-19 5:00:00,,DFP,Destination,,17 DAY,,,J,,,,0,R,3876,,,0,0,0,0,,0,,72,,1900-01-01 21:00:00,10,,1,F2,2020-10-19 5:00:00,,17 DAY,,Z10000,,USD,,0,1000,,,USD,1,,ZMD0095,2020-09-25 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-07 5:00:00,1900-01-01 6:00:00,,,,,,,,,0,,3876,,,1900-01-01 6:00:00,1900-01-01 19:00:00,1900-01-01 19:00:00,1900-01-01 19:00:00,,,,0,0,,4503164947,051MhZJM7jgmY1Eg4YlhEm,,,PST,CST,,,I,,VL10X,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82074242,ZCM0124,1900-01-01 21:38:39,2020-07-13 5:00:00,,2163,1000,NL,,,2020-08-13 5:00:00,2020-08-13 5:00:00,2020-08-11 5:00:00,2020-08-14 5:00:00,2020-08-13 5:00:00,,DFP,Destination,,1 DAY,,,J,,,,0,M,3451,,,0,0,47760,47760,LB,1760624.64,IN3,0,,1900-01-01 6:00:00,9999,,1,F2,2020-08-13 5:00:00,,1 DAY,,Z10000,,USD,,0,1000,,,USD,1,,Q007903,2020-08-14 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-13 5:00:00,2020-08-13 5:00:00,,,,,,,,,0,,3451,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,0,0,,3335831,051MhZJK7jgngHgeMVQJVW,,YMIGDLV,CST,CST,,,I,,VL10X,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82075124,CA_UNICENTER,1900-01-01 20:19:02,2020-07-13 5:00:00,,2100,1000,RL,,,2020-07-13 5:00:00,2020-07-13 5:00:00,2020-07-13 5:00:00,2020-07-13 5:00:00,2020-07-13 5:00:00,,,,,0 DAY,,,J,,,,0,M,60003400,,,0,0,0,0,,0,,0,,1900-01-01 6:00:00,,,1,F2,2020-07-24 5:00:00,,,,Z10000,,USD,,0,1000,,,USD,1,,ZDT0113,2020-07-24 5:00:00,101,,,,,,,1900-01-01 6:00:00,,,,,,,,0,MST202950QCHOLD4679 RECYCLE,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-13 5:00:00,2020-07-24 5:00:00,,,MST202950QCHOLD4679 RECYCLE,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,1900-01-01 6:00:00,P22,PS22,,0,0,,,051MhZJP7kgnfxQzPzn6C0,,,EST,CST,,,I,,,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82077566,CA_UNICENTER,1900-01-01 11:20:25,2020-07-23 5:00:00,,4253,1000,Z1,,,2020-07-29 5:00:00,2020-07-29 5:00:00,2020-07-23 5:00:00,2020-08-03 5:00:00,2020-07-29 5:00:00,,DFP,Destination,,4 DAY,,,J,,,,0,M,3123,,,0,0,38312.04,32293.36,LB,2782.8,FT3,30,,1900-01-01 21:00:00,9999,,1,F2,2020-08-01 5:00:00,,4 DAY,,Z10000,,USD,,0,1000,,,USD,1,,ZRA0262,2020-08-18 5:00:00,146,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-23 5:00:00,2020-08-01 5:00:00,,,,,,,,,0,,3123,,,1900-01-01 6:00:00,1900-01-01 23:00:00,1900-01-01 23:00:00,1900-01-01 23:00:00,D06,,,0,0,,4503187322,051MhZJJ7kgpcSFl4R1rZG,,,CST,PST,,,I,,,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82077741,CA_UNICENTER,1900-01-01 11:21:00,2020-07-20 5:00:00,,4700,1000,Z6,,,2020-07-20 5:00:00,2020-07-20 5:00:00,2020-07-20 5:00:00,2020-07-21 5:00:00,2020-07-20 5:00:00,,DFP,Destination,,1 DAY,,,J,,,,0,ZZ,4287,,,0,0,39432.69,38798.892,LB,2437.182,FT3,27,,1900-01-01 10:21:00,9999,,1,F2,2020-07-22 5:00:00,,1 DAY,,Z10000,,USD,,0,1000,,,USD,1,,ZAJ3038,2020-07-22 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-20 5:00:00,2020-07-22 5:00:00,,,,,,,,,0,,4287,,,1900-01-01 11:21:00,1900-01-01 11:21:00,1900-01-01 11:21:00,1900-01-01 11:21:00,,,,0,0,,4503183191,051MhZJQ7jgopbR6a86MBW,,,CST,UTC-6,,,I,,,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82077977,CA_UNICENTER,1900-01-01 11:20:49,2020-07-24 5:00:00,,4281,1000,Z1,,,2020-07-27 5:00:00,2020-07-27 5:00:00,2020-07-24 5:00:00,2020-07-29 5:00:00,2020-07-27 5:00:00,,DFP,Destination,,2 DAY,,,J,,,,0,M,3926,,,0,0,43653.6,29656.8,LB,897.84,FT3,18,,1900-01-01 21:00:00,9999,,1,F2,2020-07-28 5:00:00,,2 DAY,,Z10000,,USD,,0,1000,,,USD,1,,CA_UNICENTER,2020-07-29 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,105595079N,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-24 5:00:00,2020-07-28 5:00:00,,,,,,,,,0,,3926,,,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,,,,0,0,,4503184578,051MhZJQ7jgpikiHLJ2oH0,,,EST,EST,,,I,,,,,,1000,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82078009,CA_UNICENTER,1900-01-01 23:45:02,2020-07-25 5:00:00,,3880,1000,Z1,,,2020-07-27 5:00:00,2020-07-27 5:00:00,2020-07-25 5:00:00,2020-07-29 5:00:00,2020-07-27 5:00:00,,DFP,Destination,,2 DAY,,,J,,,,0,M,3752,,,0,0,26317,18477.5,LB,3040.8,FT3,60,,1900-01-01 23:45:04,9999,,1,F2,2020-07-27 5:00:00,,2 DAY,,Z10000,,USD,,0,1000,,,USD,1,,CA_UNICENTER,2020-07-27 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,4503187175,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-25 5:00:00,2020-07-27 5:00:00,,,,,,,,,0,,3752,,,1900-01-01 23:45:04,1900-01-01 23:45:02,1900-01-01 23:45:04,1900-01-01 23:45:04,,,,0,0,,4503187175,051MhZJQ7kgpsG{OiHz3yW,,,CST,CST,,,I,,,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82078030,CA_UNICENTER,1900-01-01 11:20:49,2020-07-27 5:00:00,,4281,1000,Z1,,,2020-07-29 5:00:00,2020-07-29 5:00:00,2020-07-27 5:00:00,2020-07-31 5:00:00,2020-07-29 5:00:00,,DFP,Destination,,2 DAY,,,J,,,,0,M,2100,,,0,0,39912,27240,LB,900.96,FT3,60,,1900-01-01 21:00:00,9999,,1,F2,2020-07-30 5:00:00,,2 DAY,,Z10000,,USD,,0,1000,,,USD,1,,ZTZ0010,2020-07-31 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,105597579N,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-27 5:00:00,2020-07-30 5:00:00,,,,,,,,,0,,2100,,,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,,,,0,0,,4503184585,051MhZJQ7kgp}bhpBgbK4m,,,EST,EST,,,I,,,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82078034,CA_UNICENTER,1900-01-01 11:20:49,2020-07-27 5:00:00,,4281,1000,Z1,,,2020-07-29 5:00:00,2020-07-29 5:00:00,2020-07-27 5:00:00,2020-07-31 5:00:00,2020-07-29 5:00:00,,DFP,Destination,,2 DAY,,,J,,,,0,M,3926,,,0,0,43596,27180,LB,897.84,FT3,18,,1900-01-01 21:00:00,9999,,1,F2,2020-07-30 5:00:00,,2 DAY,,Z10000,,USD,,0,1000,,,USD,1,,CA_UNICENTER,2020-07-31 5:00:00,,,,,,,,1900-01-01 6:00:00,,,,,,,,0,105594083N,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-27 5:00:00,2020-07-30 5:00:00,,,,,,,,,0,,3926,,,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 21:00:00,,,,0,0,,4503184609,051MhZJQ7kgp}bhpBghK4m,,,EST,EST,,,I,,,,,,1000,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
100,82079075,ZTS0176,1900-01-01 23:29:43,2020-07-21 5:00:00,,2103,1000,Z2,,,2020-08-05 5:00:00,2020-08-05 5:00:00,2020-08-03 5:00:00,2020-08-13 5:00:00,2020-08-05 5:00:00,,DFP,Destination,,8 DAY,,,J,,,,0,X,3878,,,0,0,42660,36180,LB,2711.988,FT3,54,,1900-01-01 21:00:00,9999,,1,F2,2020-08-05 5:00:00,,8 DAY,,Z10000,,USD,,0,1000,,,USD,1,,YJW0020,2020-08-05 5:00:00,107,,,,,,,1900-01-01 6:00:00,,,,,,,,0,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,,2020-07-21 5:00:00,2020-08-05 5:00:00,,,,,,,,,0,,3878,,,1900-01-01 23:00:00,1900-01-01 22:59:58,1900-01-01 23:00:00,1900-01-01 23:00:00,W09,,,0,0,,4503186094,051MhZJK7kgoz3Nh0MEVzm,,,CST,PST,,,I,,VL10X,,,,,,,,,1900-01-01 6:00:00,1900-01-01 6:00:00,0,,,,,,,1900-01-01 6:00:00,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,1900-01-01 6:00:00,1900-01-01 6:00:00,,,,,0,0,0,0,0,0,,,FALSE
