i_transaction_no,servprov_alias_qual_gid,servprov_alias_value,description,status_level,vessel_code_qualifier,vessel_code,country_code3_gid,vessel_gid,fight_or_voyage_num,weight_value_uom_code,volume_value_uom_code,ob_refnum_qual_gid,ob_refnum_value,status_code_gid,time_zone_gid,status_reason_code_gid,ss_contact_function_code,ss_contact_name,train_jct_bo_code,responsible_party_gid,rail_road_reporting_scac,is_car_loaded,car_destination_city,car_destination_state,car_destination_splc_code,orig_transaction_no,temperature_uom_code,driver_gid,power_unit_gid,shipment_gid,driver_refnum_qual_gid,driver_refnum_value,pu_refnum_qual_gid,pu_refnum_value,external_event_reference,external_data_source,time_worked_uom_code,time_driven_uom_code,driver_cal_event_gid,marked_for_purge,domain_name,insert_user,update_user,order_base_gid,order_release_gid,or_refnum_qual_gid,or_refnum_value,tracking_number,car_destination_location_gid,car_destination_country,erpc,filing_response_type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,ship_group_gid,ship_group_type_gid,order_release_line_gid,orl_refnum_value,or_line_refnum_qual_gid,indicator,next_junction_splc,load_date,job_name,ahead_late_time_uom_code,ahead_or_late,car_dest_time_zone_gid,car_interchange_time_zone_gid,equipment_initial,equipment_number,location_gid,shipment_status_type,ship_or_sail_date,discharge_or_completion_date,eventdate,car_destination_eta_date,event_received_date,event_end_date,insert_date,update_date,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,car_interchange_eti_date,weight_value,weight_value_base,volume_value,volume_value_base,partition_key,temperature,temperature_base,related_transaction_no,time_worked,time_worked_base,time_driven,time_driven_base,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,car_repair_hours,ahead_late_time,ahead_late_time_base
150205126,GLOG,RC3.TVQI,,SHIPMENT,,,,,,,,,,D1,America/New_York,NS,,,,CARRIER,,,,,,150205126,,,,,,,,,,,,,,N,RC3,RC3.ADMIN,RC3.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,RC3.0549,SHIPMENT,,,2024-04-30 16:12:00,,2024-04-30 6:42:01,,2024-04-30 6:42:01,2024-04-30 6:42:01,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205128,,,,,,,,,,,,,,XP,America/New_York,NA,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 16:12:28,,2024-04-30 6:42:29,,2024-04-30 6:42:29,2024-04-30 6:42:29,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205129,,,,,,,,,,,,,,XD,America/Chicago,NA,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 17:12:41,,2024-04-30 6:42:41,,2024-04-30 6:42:41,2024-04-30 6:42:41,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205130,,,,,,,,,,,,,,X3,America/New_York,NS,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 16:12:52,,2024-04-30 6:42:53,,2024-04-30 6:42:53,2024-04-30 6:42:53,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205138,,,,,,,,,,,,,,AF,America/New_York,NS,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 16:13:05,,2024-04-30 6:43:05,,2024-04-30 6:43:05,2024-04-30 6:43:06,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205140,,,,,,,,,,,,,,X1,America/Chicago,NS,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 17:13:19,,2024-04-30 6:43:20,,2024-04-30 6:43:20,2024-04-30 6:43:20,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205142,,,,,,,,,,,,,,L1,America/Chicago,NS,,,,CARRIER,,,,,,,,,,RC3.702466174N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 17:13:31,,2024-04-30 6:43:32,,2024-04-30 6:43:32,2024-04-30 6:43:32,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205296,GLOG,RC3.KLMI,,SHIPMENT,,,,,,,,,,AF,America/Chicago,NS,,,,CARRIER,,,,,,150205296,,,,,,,,,,,,,,N,RC3,RC3.ADMIN,RC3.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,RC3.5006,SHIPMENT,,,2024-04-30 18:15:45,,2024-04-30 7:45:45,,2024-04-30 7:45:45,2024-04-30 7:45:45,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205455,GLOG,RC3.TVQI,,SHIPMENT,,,,,,,,,,AF,America/New_York,NS,,,,CARRIER,,,,,,150205455,,,,,,,,,,,,,,N,RC3,RC3.ADMIN,RC3.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,RC3.0549,SHIPMENT,,,2024-04-30 18:17:27,,2024-04-30 8:47:25,,2024-04-30 8:47:25,2024-04-30 8:47:25,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
150205457,,,,,,,,,,,,,,XP,America/New_York,NA,,,,CARRIER,,,,,,,,,,RC3.702466178N,,,,,,,,,,N,RC3,RC3.ZHL4004,DBA.ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29 1:52:55,CAG_M_OTM_SFL_IE_SHIPMENTSTATUS_DELTA,,,,,,,,,,,2024-04-30 18:17:58,,2024-04-30 8:47:56,,2024-04-30 8:47:56,2024-04-30 8:47:56,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,