client,sales_and_distribution_document_number,reference_document_header_status,total_reference_status_of_all_items,confirmation_status,delivery_status,overall_delivery_status_for_all_items,total_goods_movement_status,billing_status,billing_status_order_related_billing_document,posting_status_of_billing_document,overall_rejection_status_of_all_document_items,overall_processing_status_of_document,overall_picking_putaway_status,overall_status_of_warehouse_management_activities,total_incompletion_status_of_all_items_in_general,total_incompletion_status_of_all_items_delivery,total_incompletion_status_of_all_items_billing,general_incompletion_status_of_the_header,header_incompletion_status_concerning_delivery,header_incompletion_status_with_respect_to_billing,document_is_incomplete_with_respect_to_pricing,sd_document_category,sd_document_object,changed_on,billing_totals_status_for_intercompany_billing,invoice_list_status_of_billing_document,customer_reserves_1_header_status,customer_reserves_2_header_status,customer_reserves_3_header_status,custmer_reserves_4_header_status,customer_reserves_5_header_status,customer_reserves_1_sum_of_all_items,customer_reserves_2_sum_of_all_items,customer_reserves_3_sum_of_all_items,customer_reserves_4_sum_of_all_items,customer_reserves_5_sum_of_all_items,overall_packing_status_of_all_items,status_of_static_credit_limit_check,status_of_dynamic_credit_limit_check_in_the_credit_horizon,status_of_credit_check_against_maximum_document_value,status_of_credit_check_against_terms_of_payment,status_of_credit_check_against_customer_review_date,status_of_credit_check_against_open_items_due,status_of_credit_check_against_oldest_open_items,status_of_credit_check_against_highest_dunning_level,status_of_credit_check_against_financial_document,status_of_credit_check_against_export_credit_insurance,status_of_credit_check_against_payment_card_authorization,status_of_credit_check_of_reserves_4,status_of_credit_check_for_customer_reserve_1,status_of_credit_check_for_customer_reserve_2,status_of_credit_check_for_customer_reserve_3,overall_status_of_credit_checks,transportation_planning_status,status_of_pick_confirmation,confirmation_status_for_ale,sap_release,totals_incomplete_status_for_all_items_packaging,totals_incomplete_status_for_all_items_picking,total_incomplete_status_of_all_items_post_goods_movement,header_incomplete_status_for_packaging,header_incomplete_status_for_picking_putaway,post_header_incomplete_status_for_goods_movement,unused,credit_check_data_is_obsolete,delay_status,handling_unit_placed_in_stock,distribution_status_decentralized_warehouse_processing,revenue_determination_status,indicator_document_preselected_for_archiving,overall_billing_block_status,overall_delivery_block_status,overall_blocked_status,pod_status_on_header_level,status_funds_management,manual_completion_of_contract,temporary_inbound_delivery,inbound_delivery_header_not_yet_complete_on_hold,at_least_one_of_id_items_not_yet_complete_on_hold,status_of_credit_check_sap_credit_management,status_of_technical_error_sap_credit_management,extension_of_sd_document_category,is_quarantined
100,0011719016, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719017, , , ,A,C, , , , ,C,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719018, , , ,A,C, , , , ,C,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719019, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719020, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719021, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719022, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719023, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719024, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719025, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719026, , , ,B,C, , , , ,B,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719027, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719028, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719029, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719030, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719031, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719032, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719033, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719034, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719035, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719036, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719037, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719038, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719039, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719040, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719041, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719042, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719043, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719044, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719045, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719046, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719047, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719048, , , ,A,C, , , , ,C,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719049, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719050, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719051, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719052, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719053, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719054, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719055, , , ,C,C, , , , ,A,C, , ,B,C,B,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719056, , , ,C,C, , , , ,A,C, , ,A,C,A,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719057, , , ,C,C, , , , ,A,C, , ,A,C,A,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
