client,sales_and_distribution_document_number,reference_document_header_status,total_reference_status_of_all_items,confirmation_status,delivery_status,overall_delivery_status_for_all_items,total_goods_movement_status,billing_status,billing_status_order_related_billing_document,posting_status_of_billing_document,overall_rejection_status_of_all_document_items,overall_processing_status_of_document,overall_picking_putaway_status,overall_status_of_warehouse_management_activities,total_incompletion_status_of_all_items_in_general,total_incompletion_status_of_all_items_delivery,total_incompletion_status_of_all_items_billing,general_incompletion_status_of_the_header,header_incompletion_status_concerning_delivery,header_incompletion_status_with_respect_to_billing,document_is_incomplete_with_respect_to_pricing,sd_document_category,sd_document_object,changed_on,billing_totals_status_for_intercompany_billing,invoice_list_status_of_billing_document,customer_reserves_1_header_status,customer_reserves_2_header_status,customer_reserves_3_header_status,custmer_reserves_4_header_status,customer_reserves_5_header_status,customer_reserves_1_sum_of_all_items,customer_reserves_2_sum_of_all_items,customer_reserves_3_sum_of_all_items,customer_reserves_4_sum_of_all_items,customer_reserves_5_sum_of_all_items,overall_packing_status_of_all_items,status_of_static_credit_limit_check,status_of_dynamic_credit_limit_check_in_the_credit_horizon,status_of_credit_check_against_maximum_document_value,status_of_credit_check_against_terms_of_payment,status_of_credit_check_against_customer_review_date,status_of_credit_check_against_open_items_due,status_of_credit_check_against_oldest_open_items,status_of_credit_check_against_highest_dunning_level,status_of_credit_check_against_financial_document,status_of_credit_check_against_export_credit_insurance,status_of_credit_check_against_payment_card_authorization,status_of_credit_check_of_reserves_4,status_of_credit_check_for_customer_reserve_1,status_of_credit_check_for_customer_reserve_2,status_of_credit_check_for_customer_reserve_3,overall_status_of_credit_checks,transportation_planning_status,status_of_pick_confirmation,confirmation_status_for_ale,sap_release,totals_incomplete_status_for_all_items_packaging,totals_incomplete_status_for_all_items_picking,total_incomplete_status_of_all_items_post_goods_movement,header_incomplete_status_for_packaging,header_incomplete_status_for_picking_putaway,post_header_incomplete_status_for_goods_movement,unused,credit_check_data_is_obsolete,delay_status,handling_unit_placed_in_stock,distribution_status_decentralized_warehouse_processing,revenue_determination_status,indicator_document_preselected_for_archiving,overall_billing_block_status,overall_delivery_block_status,overall_blocked_status,pod_status_on_header_level,status_funds_management,manual_completion_of_contract,temporary_inbound_delivery,inbound_delivery_header_not_yet_complete_on_hold,at_least_one_of_id_items_not_yet_complete_on_hold,status_of_credit_check_sap_credit_management,status_of_technical_error_sap_credit_management,extension_of_sd_document_category,is_quarantined
100,0011719058, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719059, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719060, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719061, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719062, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719063, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719064, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719065, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719066, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719067, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719068, , ,C,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719069, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719070, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719071, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719072, , ,A,B,B, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,B,A, , ,740, , , , , , , , , , , , , , , ,C, , , , , , , , , ,false
100,0011719073, , ,A,B,B, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,A, , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719074, , ,A,B,B, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719075, , ,A,B,B, , , , ,B,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,A, , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719076, , ,A,A,B, , , , ,B,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , , ,C, , , , , , , , , ,false
100,0011719077, , ,A,B,B, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,A, , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719078, , ,B,B,B, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,A,A, , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719079, , , ,B,C, , , , ,B,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,B, ,A, , ,B,B, , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719080, , , ,B,C, , , , ,B,C, , ,C,C,C,C,C,C,C,I,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719081, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719082, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719083, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719084, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719085, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719086, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719087, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719088, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719089, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719090, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , , ,C, , , , , , , , , ,false
100,0011719091, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719092, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719093, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719094, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719095, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719096, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719097, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , ,B,B, , , , , ,A,A, ,D, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719098, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , ,B,B, , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , , ,C, , , , , , , , , ,false
100,0011719099, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719100, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719101, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , ,B,B, , , , , ,A,A, ,D, , , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719102, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , ,B,B, , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719103, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719104, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719105, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,D,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719106, , , ,A,C, , , , ,C,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719107, , , ,A,C, , , , ,C,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719108, , , ,C,C, , , , ,A,C, , ,A,C,A,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719109, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B,B, , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
100,0011719110, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719111, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719112, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719113, , ,A,A,A, , , , ,A,B, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , ,A,A, , ,B,B, , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , , ,C, , , , , , , , , ,false
100,0011719114, , , ,C,C, , , , ,A,C, , ,C,C,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , ,A, , , , , , , , , ,A,A, ,A,A, , ,740, , , , , , , , , , , , , , , , , , , , , , , , , ,false
100,0011719115, , ,A,A,A, , , , ,A,B, , ,A,A,C,C,C,C,C,C,A,1900-01-01 06:00:00.000000, , , , , , , , , , , , , ,A, ,A, , ,B, , , , , , ,A,A, ,B, , , ,740, , , , , , , , , , , , , , ,C,C, , , , , , , , , ,false
